codigo_mun_i,codigo_mun_j,cij_def
5004,5129,0.559076
5004,5134,1
5004,5138,0.253125
5004,5142,1
5004,5145,1
5004,5147,0.6875989
5004,5148,0.7399937
5004,5150,1
5004,5154,1
5004,5172,0.6468602
5004,5190,0.9236204
5004,5197,0.8620347
5004,5206,0.8600208
5004,5209,0.9780023
5004,5212,0.5400848
5004,5234,0.3802593
5004,5237,0.7521204
5004,5240,0.6347731
5004,5250,1
5004,5264,0.8318889
5004,5266,0.5284684
5004,5282,0.8399375
5004,5284,0.1648148
5004,5306,0.3402292
5004,5308,0.6173611
5004,5310,0.9553843
5004,5313,0.8595463
5004,5315,1
5004,5318,0.6274201
5004,5321,0.9322523
5004,5347,0.8235208
5004,5353,0.9955949
5004,5360,0.4907621
5004,5361,1
5004,5364,1
5004,5368,1
5004,5376,0.7265362
5004,5380,0.5457079
5004,5390,0.8354282
5004,5400,0.8735116
5004,5411,0.5522478
5004,5425,1
5004,5440,0.6804945
5004,5467,0.789993
5004,5475,0.9448773
5004,5480,0.5372269
5004,5483,1
5004,5490,1
5004,5495,1
5004,5501,0.5048009
5004,5541,0.8518079
5004,5543,0.8101643
5004,5576,1
5004,5579,1
5004,5585,1
5004,5591,1
5004,5604,1
5004,5607,0.7467315
5004,5615,0.62951
5004,5628,0.7560602
5004,5631,0.5403298
5004,5642,0.9922986
5004,5647,0.9432061
5004,5649,1
5004,5652,0.9399953
5004,5656,0.4839745
5004,5658,0.8382894
5004,5659,1
5004,5660,1
5004,5664,0.6548358
5004,5665,1
5004,5667,1
5004,5670,0.9898102
5004,5674,0.788169
5004,5679,0.7600718
5004,5686,0.7540425
5004,5690,0.8636875
5004,5697,0.704032
5004,5736,1
5004,5756,1
5004,5761,0.4979144
5004,5789,1
5004,5790,1
5004,5792,0.9731505
5004,5809,0.8558542
5004,5819,0.9614097
5004,5837,0.8692033
5004,5842,0.2758403
5004,5847,0.903456
5004,5854,1
5004,5856,0.9596991
5004,5858,1
5004,5861,0.864331
5004,5873,0.389956
5004,5885,1
5004,5887,0.8826368
5004,5890,1
5004,5893,1
5004,5895,1
5021,5001,0.2887571
5021,5002,0.7334028
5021,5004,0.9570602
5021,5021,0
5021,5030,0.5169028
5021,5031,0.7554167
5021,5034,0.8737563
5021,5036,0.5439514
5021,5038,0.6483079
5021,5040,0.9325671
5021,5042,0.5457755
5021,5044,0.689331
5021,5045,1
5021,5051,1
5021,5055,1
5021,5059,0.6480833
5021,5079,0.2089415
5021,5086,0.588912
5021,5088,0.2880594
5021,5091,0.9603125
5021,5093,0.981257
5021,5101,0.8012164
5021,5107,0.8018634
5021,5113,0.6707616
5021,5120,0.8782963
5021,5125,0.7892315
5021,5129,0.3648302
5021,5134,0.6685092
5021,5138,0.7172847
5021,5142,0.5527893
5021,5145,0.8237593
5021,5147,1
5021,5148,0.3857155
5021,5150,0.4779352
5021,5154,0.8557175
5021,5172,1
5021,5190,0.243037
5021,5197,0.4429954
5021,5206,0.1080069
5021,5209,0.8290833
5021,5212,0.2719155
5021,5234,0.898919
5021,5237,0.3373704
5021,5240,0.5564977
5021,5250,1
5021,5264,0.4805602
5021,5266,0.3342226
5021,5282,0.6068426
5021,5284,0.844757
5021,5306,0.6742222
5021,5308,0.2849768
5021,5310,0.4066365
5021,5313,0.3421111
5021,5315,0.5900925
5021,5318,0.3242214
5021,5321,0.2020579
5021,5347,0.590426
5021,5353,0.8466759
5021,5360,0.3114583
5021,5361,1
5021,5364,1
5021,5368,0.854044
5021,5376,0.4301052
5021,5380,0.3514622
5021,5390,0.6023333
5021,5400,0.5320903
5021,5411,0.6738681
5021,5425,0.510206
5021,5440,0.3262163
5021,5467,0.5568981
5021,5475,1
5021,5480,1
5021,5483,1
5021,5490,1
5021,5495,1
5021,5501,0.6264213
5021,5541,0.2833796
5021,5543,1
5021,5576,0.8884028
5021,5579,0.7155808
5021,5585,0.7547593
5021,5591,0.7466598
5021,5604,0.9256181
5021,5607,0.482956
5021,5615,0.304755
5021,5628,0.8776805
5021,5631,0.3460841
5021,5642,0.8433796
5021,5647,0.7030116
5021,5649,0.311814
5021,5652,0.5462153
5021,5656,0.4864352
5021,5658,0.6522338
5021,5659,1
5021,5660,0.5040162
5021,5664,0.3970076
5021,5665,1
5021,5667,0.1460093
5021,5670,0.2497847
5021,5674,0.2467315
5021,5679,0.5269768
5021,5686,0.3769971
5021,5690,0.1188287
5021,5697,0.3410627
5021,5736,0.9039267
5021,5756,0.7599789
5021,5761,0.5414097
5021,5789,0.7760741
5021,5790,0.7712269
5021,5792,0.8242315
5021,5809,0.6227592
5021,5819,0.865794
5021,5837,1
5021,5842,0.7945
5021,5847,0.9919907
5021,5854,0.6636019
5021,5856,0.7266042
5021,5858,0.6709144
5021,5861,0.6312361
5021,5873,1
5021,5885,0.5753981
5021,5887,0.5005618
5021,5890,0.3871898
5021,5893,1
5021,5895,1
5030,5001,0.1215794
5030,5002,0.3876111
5030,5004,0.7499977
5030,5021,0.5169028
5030,5030,0
5030,5031,0.8705671
5030,5034,0.410061
5030,5036,0.0893681
5030,5038,0.641125
5030,5040,0.9205185
5030,5042,0.338713
5030,5044,0.4349445
5030,5045,0.9311728
5030,5051,1
5030,5055,0.8672199
5030,5059,0.2963148
5030,5079,0.2573611
5030,5086,0.4960856
5030,5088,0.1629167
5030,5091,0.4475023
5030,5093,0.4684468
5030,5101,0.337521
5030,5107,0.776456
5030,5113,0.4636991
5030,5120,0.8528889
5030,5125,0.5821689
5030,5129,0.0776215
5030,5134,0.6431018
5030,5138,0.5102222
5030,5142,0.7932153
5030,5145,0.5580903
5030,5147,0.9708691
5030,5148,0.3398506
5030,5150,0.5930856
5030,5154,0.8392361
5030,5172,0.9301305
5030,5190,0.483463
5030,5197,0.4218773
5030,5206,0.4198634
5030,5209,0.3162732
5030,5212,0.173287
5030,5234,0.6918565
5030,5237,0.311963
5030,5240,0.3494352
5030,5250,1
5030,5264,0.4551528
5030,5266,0.1114448
5030,5282,0.1096528
5030,5284,0.6376945
5030,5306,0.4671597
5030,5308,0.217218
5030,5310,0.5152153
5030,5313,0.4193889
5030,5315,0.7052431
5030,5318,0.2272769
5030,5321,0.4920833
5030,5347,0.2946227
5030,5353,0.3338658
5030,5360,0.0999769
5030,5361,1
5030,5364,0.5379514
5030,5368,0.3568542
5030,5376,0.3025589
5030,5380,0.1047569
5030,5390,0.2409051
5030,5400,0.4071366
5030,5411,0.4668056
5030,5425,0.7506319
5030,5440,0.2803514
5030,5467,0.1954699
5030,5475,1
5030,5480,0.848824
5030,5483,0.8741435
5030,5490,1
5030,5495,1
5030,5501,0.4193588
5030,5541,0.4116505
5030,5543,1
5030,5576,0.3755926
5030,5579,0.9312711
5030,5585,0.9757662
5030,5591,0.7352685
5030,5604,1
5030,5607,0.2803565
5030,5615,0.2627122
5030,5628,0.6706181
5030,5631,0.1065876
5030,5642,0.3305694
5030,5647,0.6776042
5030,5649,0.63988
5030,5652,0.4998379
5030,5656,0.2793727
5030,5658,0.6268264
5030,5659,1
5030,5660,0.575574
5030,5664,0.3168035
5030,5665,1
5030,5667,0.6540324
5030,5670,0.5496528
5030,5674,0.3480116
5030,5679,0.1655486
5030,5686,0.3538994
5030,5690,0.4235301
5030,5697,0.3038889
5030,5736,1
5030,5756,0.6058965
5030,5761,0.3343472
5030,5789,0.4116088
5030,5790,0.753247
5030,5792,0.3114213
5030,5809,0.1099491
5030,5819,0.8403866
5030,5837,0.9997801
5030,5842,0.5874375
5030,5847,0.7098519
5030,5854,0.6381944
5030,5856,0.46075
5030,5858,0.8565023
5030,5861,0.1340463
5030,5873,0.8624097
5030,5885,0.7609861
5030,5887,0.4825821
5030,5890,0.5730139
5030,5893,1
5030,5895,1
5031,5001,0.5539281
5031,5002,1
5031,5004,1
5031,5021,0.7554167
5031,5030,0.8705671
5031,5031,0
5031,5034,1
5031,5036,0.8976157
5031,5038,0.5640694
5031,5040,0.4732847
5031,5042,0.8994398
5031,5044,1
5031,5045,1
5031,5051,1
5031,5055,1
5031,5059,1
